ScenarioName,Username,Password,CertType,CountryCode,HighestLevelOfEducation,EducationStartYear,EducationEndYear,CountryOfInstitution,NameOfInstitution,FieldOfStudy,DegreeProgram,CourseTitle,ProviderName,CourseStartMonth,CourseStartYear,CourseEndMonth,CourseEndYear,QualifyingHours,ProjectTitle,Organization,JobTitle,FunctionalReportingArea,OrganizationPrimaryFocus,Approach,ProjectTeamSize,ProjectBudget,ProjectStartMonth,ProjectStartYear,ProjectEndMonth,ProjectEndYear,ProjectDescription,AgileMethodology,Country,Address,City,State,ZipCode,Phone,ExamLocation,NameOnCert,ExamAccommodation,AddressType,PhoneNumberType,ProgramProjectStartMonth1,ProgramProjectStartYear1,ProgramProjectEndMonth1,ProgramProjectEndYear1,ProgramProjectStartMonth2,ProgramProjectStartYear2,ProgramProjectEndMonth2,ProgramProjectEndYear2,DirectReports,DirectReportsPM,ProjectPortfolios,ProjectStartMonth1,ProjectStartYear1,ProjectEndMonth1,ProjectEndYear1,AdditionalExperienceTypes
Ensure user is able to submit a DAC certification,,,dac,USA,Doctorate,2010,2014,United States,"Amberton University, Business Division",Business,,DAC_Course-Title,DAC_Provider-Name,January,2020,May,2022,120,DAC_ProjectTitle,DAC_ProjectOrganization,DAC_JobTitle,IT or IS,Aerospace,Agile,20 or more,$25M or More,January,2016,June,2022,,ScrumBan,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,May,2022,3,1,3,,,,,
Ensure user is able to submit a DASSM certification,,,dassm,USA,Associates Degree,2010,2014,United States,"Bellevue University, College of Science and Technology",Project Management,,DASSM_Course-Title,DASSM_Provider-Name,January,2020,May,2022,120,DASSM_ProjectTitle,DASSM_ProjectOrganization,DASSM_JobTitle,Finance,Consulting,Agile,15 to 19,$5M-$10M,January,2016,June,2022,,Test Driven Development (TDD),United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,May,2022,3,1,3,,,,,
Ensure user unable to submit a CPBEP certification when preriquisite not met,AutoGenUser_Alberta.Pfeffer,w524tb14cp,cpbep,USA,Doctorate,2010,2014,United States,"College of St. Scholastica, School of Business and Technology",Management,,CPBEP_Course-Title,CPBEP_Provider-Name,January,2020,March,2021,120,CPBEP_ProjectTitle,CPBEP_ProjectOrganization,CPBEP_JobTitle,Marketing,"Energy (gas, electric, oil)",Hybrid,5 to 9,Up to $1M,January,2016,June,2021,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,December,2021,3,1,3,,,,,
Ensure user able to navigate to submit screens for CPBEP certification when preriquisite completed,certs@pmi.org,,cpbep,USA,Bachelor Degree,2010,2014,United States,"City University of Seattle, School of Management",,Bachelor of Science in Project Management,CPBEP_Course-Title,CPBEP_Provider-Name,January,2020,March,2021,120,CPBEP_ProjectTitle,CPBEP_ProjectOrganization,CPBEP_JobTitle,Not Applicable,Information Technology,Traditional (Waterfall),1 to 4,Classified,January,2016,June,2021,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,December,2021,3,1,3,,,,,
Ensure user is able to add multiple professional education,AutoGenUser_Elizabeth.Schowalter,mpr7rkkr10,pmp,USA,Associates Degree,2010,2014,United States,"Columbia Basin College, Business Division",Business Administration,,PMP_Course-Title,PMP_Provider-Name,January,2020,March,2021,20,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Customer Service,Telecom,Hybrid,Classified,$5M-$10M,January,2016,June,2021,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,December,2021,3,1,3,,,,,
Ensure user is able to add multiple experience,AutoGenUser_Zachary.Stroman,yd323knqyr,pmp,USA,Masters Degree,2010,2014,United States,"Columbia Basin College, Business Division",,Bachelor of Applied Science in PM,PMP_Course-Title,PMP_Provider-Name,January,2020,March,2021,20,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Operations,Mining,Agile,10 to 14,$10M-$25M,January,2016,June,2017,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,December,2015,January,2016,December,2021,3,1,3,January,2018,December,2021,Professional Experience
Ensure user is able to add multiple experience for PgMP application,AutoTest823a9d15e392,,pgmp,USA,Bachelor Degree,2010,2014,United States,"City University of Seattle, School of Management",,Bachelor of Science in Project Management,PgMP_Course-Title,PgMP_Provider-Name,January,2020,March,2021,120,PgMP_ProjectTitle,PgMP_ProjectOrganization,PgMP_JobTitle,Human Resources,Aerospace,Traditional (Waterfall),20 or more,$25M or More,January,2011,December,2013,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,January,2011,June,2013,July,2013,December,2015,3,1,3,January,2014,December,2016,Program Experience|Project Experience
Ensure user is able to view required fields in audit page for PMP,AutoTest16b2a5d3052a,,pmp,USA,Masters Degree,2010,2014,United States,"Northeastern University, College of Professional Studies",,MS in Project Management,PMP_Course-Title,PMP_Provider-Name,January,2020,May,2022,120,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Research/R&D,Armed Forces,Traditional (Waterfall),10 to 14,$10M-$25M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to view required fields for PgMP,AutoTest25fccc71498f,Auto123,pgmp,USA,Masters Degree,2010,2014,United States,"Northeastern University, College of Professional Studies",,MS in Project Management,PMP_Course-Title,PMP_Provider-Name,January,2020,May,2022,120,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Research/R&D,Armed Forces,Traditional (Waterfall),10 to 14,$10M-$25M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to upload education documnets in audit page for PMP,AutoGenUser_Randal.Wyman,Auto@123,pmp,USA,Masters Degree,2010,2014,United States,"Northeastern University, College of Professional Studies",,MS in Project Management,PMP_Course-Title,PMP_Provider-Name,January,2020,May,2022,120,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Research/R&D,Armed Forces,Traditional (Waterfall),10 to 14,$10M-$25M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to view submit audit fields for PMP,CertTestUser10@pmi.org,,pmp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensure user is able to validate the PMP badge on experience page of PgMP,AutoTest279ec69a043e,,pgmp,USA,Masters Degree,2010,2014,United States,"Northeastern University, College of Professional Studies",,MS in Project Management,PMP_Course-Title,PMP_Provider-Name,January,2020,May,2022,120,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Research/R&D,Armed Forces,Traditional (Waterfall),10 to 14,$10M-$25M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to validate the PMP badge on experience page of PMI-ACP,AutoTest279ec69a043e,,pmi_acp,USA,Masters Degree,2010,2014,United States,"Northeastern University, College of Professional Studies",,MS in Project Management,PMP_Course-Title,PMP_Provider-Name,January,2020,May,2022,120,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Research/R&D,Armed Forces,Traditional (Waterfall),10 to 14,$10M-$25M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
Ensure user is able to validate the CAPM badge on education page of PMP,ReginaMavis,,pmp,USA,Masters Degree,2010,2014,United States,"Northeastern University, College of Professional Studies",,MS in Project Management,PMP_Course-Title,PMP_Provider-Name,January,2020,May,2022,120,PMP_ProjectTitle,PMP_ProjectOrganization,PMP_JobTitle,Research/R&D,Armed Forces,Traditional (Waterfall),10 to 14,$10M-$25M,January,2016,June,2022,,,United States,14 Campus Blvd,Newtown Square,Pennsylvania,19073,9876543211,United States,CertFName CertLName,No,Home,Home,,,,,,,,,,,,,,,,
